iter	MAPE	RMSE
756	0.07044993891	247679.9206
757	0.07041975496	247649.032
758	0.07040885603	247599.2373
759	0.07037042063	247539.85
760	0.07034591854	247468.4499
761	0.07024829476	247412.4709
762	0.07022304978	247275.3719
763	0.07018797496	247248.4359
764	0.07015538844	247216.0699
765	0.07014894065	247189.5267
766	0.0701223541	247057.94
767	0.07010195547	247008.8992
768	0.07003076674	246961.5765
769	0.07000083617	246916.3272
770	0.06997517324	246893.4301
771	0.07001330144	246798.2035
772	0.06999426648	246777.3296
773	0.06998199481	246689.3609
774	0.06995014287	246560.4402
775	0.06995735651	246532.2391
776	0.0699490337	246511.8445
777	0.06991233174	246463.6006
778	0.06990538547	246410.5348
779	0.06987393696	246393.4765
780	0.06985903833	246333.8386
781	0.06983382484	246296.2251
782	0.06983710058	246145.9606
783	0.06978645898	246090.8346
784	0.06974981647	246029.6539
785	0.06970921801	245919.689
786	0.06969930778	245855.4126
787	0.06966964494	245827.9885
788	0.06967222355	245821.5387
789	0.06965578726	245779.748
790	0.06964736152	245763.8017
791	0.06964558464	245720.6915
792	0.069628422	245700.3201
793	0.06960644062	245658.8516
794	0.06959888185	245614.9903
795	0.06957088684	245582.347
796	0.06949756075	245553.0686
797	0.06945592446	245509.6265
798	0.06947574851	245483.6064
799	0.0694517739	245429.8588
800	0.06944844151	245417.1392
801	0.06943193428	245342.8337
802	0.06943692782	245125.5104
803	0.06939298011	245089.1593
804	0.06936428175	245027.45
805	0.06929252642	244962.2677
806	0.06925039682	244838.1416
807	0.06922444205	244812.2453
808	0.06917834242	244720.5342
809	0.06914751922	244678.9856
810	0.06915392924	244656.87
811	0.06912022793	244590.6625
812	0.06914190917	244520.0264
813	0.06905654906	244481.879
814	0.06904962241	244470.5246
815	0.06904556279	244391.6859
816	0.06903283287	244322.4994
817	0.06902479157	244290.1769
818	0.06902210517	244254.0377
819	0.06901972292	244200.7305
820	0.06901219392	244099.389
821	0.0689979171	244054.7647
822	0.06899399632	243945.1547
823	0.06897917609	243916.786
824	0.06898029355	243874.515
825	0.06895680003	243788.6804
826	0.06892731122	243745.1134
827	0.06890817001	243728.6201
828	0.06889885537	243721.4955
829	0.06881093502	243690.5048
830	0.06878696679	243650.2422
831	0.06874173173	243605.6503
832	0.06874594895	243564.3301
833	0.06868433519	243499.1734
834	0.06868023969	243490.7766
835	0.0686710883	243463.3297
836	0.06864796494	243409.92
837	0.06864570469	243384.8152
838	0.06860655702	243334.6514
839	0.06860915901	243299.5866
840	0.06856756399	243235.1006
841	0.06855267856	243217.5715
842	0.06853955503	243185.9626
843	0.06851756851	243115.0223
844	0.06846841219	243093.4589
845	0.06845698298	243058.5198
846	0.06843457422	242999.3242
847	0.0684339939	242967.5229
848	0.06838445834	242943.4478
849	0.06837555939	242793.2659
850	0.06834732473	242729.6262
851	0.06834837546	242682.6024
852	0.06832151686	242535.4674
853	0.06828133801	242478.244
854	0.06831531352	242429.8001
855	0.06827539567	242369.0707
856	0.06823068885	242353.9713
857	0.0681996213	242301.5895
858	0.06809539407	242213.9959
859	0.06807467616	242139.1926
860	0.06803471089	242089.4424
861	0.06801608658	242051.3152
862	0.06798103113	242003.6778
863	0.06796341455	241954.2908
864	0.06793900165	241940.3016
865	0.06791767754	241907.677
866	0.06790815817	241871.3014
867	0.06786629685	241841.2065
868	0.06788261762	241808.3503
869	0.06785351827	241776.6853
870	0.06784890221	241738.4531
871	0.06780940391	241704.966
872	0.06778164363	241646.6549
873	0.06773979743	241577.7199
874	0.06769292993	241546.5493
875	0.06766136801	241426.1429
876	0.06762026219	241382.4828
877	0.06756978461	241287.2723
878	0.06752929698	241086.4374
879	0.06745915011	241056.7507
880	0.06741221708	241010.4212
881	0.06738035691	240968.2337
882	0.06739754462	240916.2393
883	0.06734141087	240881.6761
884	0.06723050109	240801.5241
885	0.06721802678	240773.7755
886	0.06719078813	240765.9906
887	0.06717577656	240749.4008
888	0.06715919032	240721.2231
889	0.06714950621	240696.8164
890	0.06714404363	240655.9321
891	0.06712605799	240590.0148
892	0.06708784783	240551.624
893	0.06706733227	240499.3335
894	0.06704227449	240461.4167
895	0.06696843095	240436.7821
896	0.06696303835	240402.6295
897	0.06691581007	240334.5323
898	0.06690955566	240324.9188
899	0.06689007847	240289.7402
900	0.06688277289	240256.4312
901	0.06684976368	240209.6464
902	0.06681568153	240125.6886
903	0.06682142656	240108.0891
904	0.06682894908	240018.4287
905	0.06676666411	239983.7018
906	0.06674941704	239905.4305
907	0.06673476041	239879.1481
908	0.066707001	239849.788
909	0.06667464553	239826.7786
910	0.06667697875	239783.038
911	0.06664867888	239763.7976
912	0.06659354492	239709.2391
913	0.06657089454	239644.634
914	0.06653615308	239596.0064
915	0.06652943189	239477.1909
916	0.06649333461	239467.3517
917	0.06647931547	239436.2566
918	0.06648319618	239384.6218
919	0.06649477127	239362.2138
920	0.06647450415	239343.3413
921	0.06646733536	239310.5257
922	0.06645749041	239288.8549
923	0.06634012434	239263.2338
924	0.06634070104	239224.9996
925	0.06634243426	239204.153
926	0.06631066078	239066.1711
927	0.06627521631	239054.1906
928	0.06625642288	239016.553
929	0.06626233107	238990.1122
930	0.06625137448	238951.4614
931	0.06622737155	238914.3034
932	0.0662103588	238850.4295
933	0.06619535303	238808.6008
934	0.06616636927	238754.8855
935	0.06614945553	238602.1194
936	0.06614762456	238583.896
937	0.06612852173	238555.4207
938	0.06609997906	238465.4635
939	0.06607278936	238432.5287
940	0.06600032294	238409.3845
